Feature,IV,Strength,Decision
feature_2,5.4233,Suspicious (Leakage?),Excluded (IV > 1.0 — suspected leakage)
feature_8,3.0577,Suspicious (Leakage?),Excluded (IV > 1.0 — suspected leakage)
feature_10,2.7437,Suspicious (Leakage?),Excluded (IV > 1.0 — suspected leakage)
feature_13,1.7085,Suspicious (Leakage?),Excluded (IV > 1.0 — suspected leakage)
feature_4,1.5161,Suspicious (Leakage?),Excluded (IV > 1.0 — suspected leakage)
feature_14,1.1669,Suspicious (Leakage?),Excluded (IV > 1.0 — suspected leakage)
feature_7,0.7355,Very Strong,Selected (survived SHAP RFE)
feature_3,0.6323,Very Strong,Selected (survived SHAP RFE)
feature_6,0.3523,Strong,Selected (survived SHAP RFE)
feature_5,0.3255,Strong,Selected (survived SHAP RFE)
feature_1,0.2301,Medium,Selected (survived SHAP RFE)
feature_12,0.1596,Medium,Excluded (dropped by SHAP RFE)
merchant_category,0.0483,Weak,Excluded (dropped by SHAP RFE)
feature_11,0.0443,Weak,Excluded (dropped by SHAP RFE)
txn_channel,0.0116,Useless,Excluded (IV < 0.02 — useless)
feature_9,0.0101,Useless,Excluded (IV < 0.02 — useless)
is_international,0.0049,Useless,Excluded (IV < 0.02 — useless)
is_p2p,0.0041,Useless,Excluded (IV < 0.02 — useless)
merchant_risk_tier,0.0024,Useless,Excluded (IV < 0.02 — useless)
txn_direction,0.0018,Useless,Excluded (IV < 0.02 — useless)
is_recurring,0.0014,Useless,Excluded (IV < 0.02 — useless)
