decile,n,actual_defaults,mean_score,actual_rate,expected_rate,actual_rate_pct,expected_rate_pct
1,150,77,0.41714694841162336,0.5133333333333333,0.41714694841162336,51.3,41.7
2,146,35,0.25410472269440204,0.23972602739726026,0.25410472269440204,24.0,25.4
3,152,31,0.21715731882490813,0.20394736842105263,0.21715731882490813,20.4,21.7
4,152,25,0.1695175964178337,0.16447368421052633,0.1695175964178337,16.4,17.0
5,150,13,0.11287293511235058,0.08666666666666667,0.11287293511235058,8.7,11.3
6,149,8,0.06739111667023076,0.053691275167785234,0.06739111667023076,5.4,6.7
7,148,3,0.04920008137521969,0.02027027027027027,0.04920008137521969,2.0,4.9
8,153,2,0.03221931117543805,0.013071895424836602,0.03221931117543805,1.3,3.2
9,150,4,0.01991144250397918,0.02666666666666667,0.01991144250397918,2.7,2.0
10,150,1,0.007994892376720308,0.006666666666666667,0.007994892376720308,0.7,0.8
