Feature,IV,Strength,Decision
feature_2,5.4233,Suspicious (Leakage?),Excluded (leakage)
feature_8,3.0577,Suspicious (Leakage?),Excluded (leakage)
feature_10,2.7437,Suspicious (Leakage?),Excluded (leakage)
feature_13,1.7085,Suspicious (Leakage?),Excluded (leakage)
feature_4,1.5161,Suspicious (Leakage?),Excluded (leakage)
feature_14,1.1669,Suspicious (Leakage?),Excluded (leakage)
feature_7,0.7355,Very Strong,Included
feature_3,0.6323,Very Strong,Included
feature_6,0.3523,Strong,Included
feature_5,0.3255,Strong,Included
feature_1,0.2301,Medium,Included
feature_12,0.1596,Medium,Included
merchant_category,0.0483,Weak,Included
feature_11,0.0443,Weak,Included
txn_channel,0.0116,Useless,Excluded (weak)
feature_9,0.0101,Useless,Excluded (weak)
is_international,0.0049,Useless,Excluded (weak)
is_p2p,0.0041,Useless,Excluded (weak)
merchant_risk_tier,0.0024,Useless,Excluded (weak)
txn_direction,0.0018,Useless,Excluded (weak)
is_recurring,0.0014,Useless,Excluded (weak)
