Category,count,events,nonevents,Anomaly Rate (%),WoE
ATM,5,2,3,40.0,1.4673
Travel,3,1,2,33.3,1.1792
Transit,8,2,6,25.0,0.7748
Healthcare,47,10,37,21.3,0.5653
Restaurant,85,18,67,21.2,0.5594
Grocery,34,6,28,17.6,0.3332
FoodDelivery,111,18,93,16.2,0.2315
Bank,322,50,272,15.5,0.1799
Transfer_P2P,581,83,498,14.3,0.082
Rideshare,136,18,118,13.2,-0.0066
Retail,263,34,229,12.9,-0.0336
Payroll,990,126,864,12.7,-0.0516
Other,1688,208,1480,12.3,-0.0885
Subscription,174,19,155,10.9,-0.2253
Transfer_ACH,44,4,40,9.1,-0.4288
Entertainment,9,0,9,0.0,-7.7442
